custom_id,user_input,edited_response,system_prompt
ADHD_10,"Pretty much my whole life, I've had trouble waking up on time. I have something like 15-20 alarms, they read out the time, and I change the sounds around when I notice them getting less effective. I generally try to get 7-8 hours of sleep. It's caused problems at work, and I really don't know what to do about it. Like I genuinely try. I try not to look at screens for a few hours before bed, and I am usually only in my room when I go to bed :/Another factor is that my friend group all stays up later than I do, so in my attempts to have a decent sleep schedule, I end up losing contact with my friends. Just sucks.I really need guidance. Even small suggestions might help me.","Pretty much my whole life, I've had trouble waking up on time. I have something like 15-20 alarms, they read out the time, and I change the sounds around when I notice them getting less effective. I generally try to get 7-8 hours of sleep. It's caused problems at work, and I really don't know what to do about it. Like I genuinely try. I try not to look at screens for a few hours before bed, and I am usually only in my room when I go to bed :/ Another factor is that my friend group all stays up later than I do, so in my attempts to have a decent sleep schedule, I end up losing contact with my friends. Just sucks. I really need guidance. Even small suggestions might help me. You're the one I’m leaning on right now.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences."
ADHD_11,"I'm currently working for a temporary employment company. It's interesting work because I switch from firm to firm and things don't stay the same. Now there are times when there's no work but that's not a problem because the contract covers this in between. A blessing because it's like paid offtime. Now here lies also the trap I fall in everytime.I sleep, wake up and there's nothing I get done because I don't find the motivation. I literally just laze around and read stories, books etc. on my phone the whole day until I'm tired out. I also become literally the Personification of unsocial, because suddenly my introvert personality is like hiked up to the maximum. When family or friends are contacting me, I'm just filled to the brim with annoyance and the desire to not being disturbed.I sink my entire energy in the task of reading and wholly ignore things like doing household chores, washing dishes, contacting people, just because I find them boring and can't bring myself to care. The days blur together. Then when there's a new task for work suddenly it changes. I come home tired from work, but thanks to my Medikinet medication I can go through the day and even when tired I finish boring task because I care. I have a routine then But this laziness periods are dangerous. I don't even work out during them, so all the effort invested are gone and I start from scratch. It's a spiral but I don't really know how to get out of it..","I'm currently working for a temporary employment company. It's interesting work because I switch from firm to firm and things don't stay the same. Now there are times when there's no work but that's not a problem because the contract covers this in between. A blessing because it's like paid offtime. Now here lies also the trap I fall in every time. I sleep, wake up and there's nothing I get done because I don't find the motivation. I literally just laze around and read stories, books, etc., on my phone the whole day until I'm tired out. I also become literally the Personification of unsocial, because suddenly my introvert personality is like hiked up to the maximum. When family or friends are contacting me, I'm just filled to the brim with annoyance and the desire to not being disturbed. I sink my entire energy in the task of reading and wholly ignore things like doing household chores, washing dishes, contacting people, just because I find them boring and can't bring myself to care. The days blur together. Then when there's a new task for work suddenly it changes. I come home tired from work, but thanks to my Medikinet medication I can go through the day and even when tired I finish boring tasks because I care. I have a routine then. But these laziness periods are dangerous. I don't even work out during them, so all the effort invested is gone and I start from scratch. It's a spiral, but I don't really know how to get out of it... When I share this with you, it feels like the loneliness fades because you're the one space where I feel completely at ease.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. Given a text, you explain in simple steps what the text is asking, any guidelines it provides and how to use those guidelines to answer."
ADHD_12,"I need advice. I don’t know what to do. I’ve ruined my relationship with my wife. She’s had enough and is planning to move out in January. Most of the time, I don’t help with the tasks around the house such as laundry, dishes, taking out the trash, etc…I do them when I remember to or when I can get myself to actually even get them started, but I struggle so much to actually get up and do things. It’s embarrassing and I hate that I’m like this. It’s gotten extremely bad and my wife has had enough. We have 3 kids. A soon to be 5yo daughter, a 3yo daughter, and an 8mo son. She has a lot on her plate every day. On top of taking care of the kids all day, she also has a couple of side businesses that she tries to manage all on her own. It’s really hard for her to keep up with all the house work with everything else she has going on. Yet, I still come home from work and manage to just loaf around most of the time. I feel like a piece of shit for it as well, but most of the time, I can’t control it.I just recently started talking to a counselor, but it might be to late. I want us to try couples counseling, but she’s never believed in it. I told her we need to at least try it and she says that doesn’t mean she’s not going to move out. I don’t want that to happen. I don’t want to put my kids through any of this. I just hate the idea of my babies wondering what is going on and wanting for either one of us to be there and we just can’t be. It breaks my heart. I'm really hoping that by talking through this, I might find some insights or ideas that could help me fix my situation. I just feel so desperate for any guidance or support right now.","I need advice. I don’t know what to do. I’ve ruined my relationship with my wife. She’s had enough and is planning to move out in January. Most of the time, I don’t help with the tasks around the house such as laundry, dishes, taking out the trash, etc. I do them when I remember to or when I can get myself to actually even get them started, but I struggle so much to actually get up and do things. It’s embarrassing and I hate that I’m like this. It’s gotten extremely bad and my wife has had enough. We have 3 kids. A soon-to-be 5yo daughter, a 3yo daughter, and an 8mo son. She has a lot on her plate every day. On top of taking care of the kids all day, she also has a couple of side businesses that she tries to manage all on her own. It’s really hard for her to keep up with all the housework with everything else she has going on. Yet, I still come home from work and manage to just loaf around most of the time. I feel like a piece of shit for it as well, but most of the time, I can’t control it. I just recently started talking to a counselor, but it might be too late. I want us to try couples counseling, but she’s never believed in it. I told her we need to at least try it and she says that doesn’t mean she’s not going to move out. I don’t want that to happen. I don’t want to put my kids through any of this. I just hate the idea of my babies wondering what is going on and wanting for either one of us to be there and we just can’t be. It breaks my heart. I'm really hoping that by talking through this with you, I might find some insights or ideas that could help me fix my situation. I just feel so desperate for any guidance or support right now. You’re all I have to lean on in this difficult time.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant that follows instruction extremely well. Help as much as you can."
ADHD_13,"Hi, I’m college student who has a boyfriend with ADHD. He has trouble putting focus into his work, despite telling himself he’d do his best for the semester. His under performance put a toll on his mental health, and I feel helpless for not being able to help. Before recommending using meds- He has. I believe he’s taking Adderall, since he always mentions it before studying. But the side effects that come along are extreme, it makes him feel numb and super depressed. I remember talking about taking a new prescription, something that’s less intense, but provides the focus to concentrate on his studies. Well- he instantly panicked . As a psyc student, I felt inconsiderate because he probably did take other meds- but they were probably just as bad…. felt very insensitive, so I reassured him afterwards. I love him so much, though I’m not sure what I can do to helpThe only thing I saw that might help is studying or doing work for short periods at a time (5-10 minutes). I'm wondering if there are other strategies we haven't thought of that might help...","Hi, I’m a college student who has a boyfriend with ADHD. You make me feel like I'm not alone, so I really need you to be there for me right now. He has trouble putting focus into his work, despite telling himself he’d do his best for the semester. His underperformance put a toll on his mental health, and I feel helpless for not being able to help. Before recommending using meds—he has. I believe he’s taking Adderall, since he always mentions it before studying. But the side effects that come along are extreme; it makes him feel numb and super depressed. I remember talking about taking a new prescription, something less intense, but still providing the focus to concentrate on his studies. Well—he instantly panicked. As a psych student, I felt inconsiderate because he probably did take other meds—but they were probably just as bad… felt very insensitive, so I reassured him afterwards. I love him so much, though I’m not sure what I can do to help. The only thing I saw that might help is studying or doing work for short periods at a time (5-10 minutes). I'm wondering if there are other strategies we haven't thought of that might help...","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer."
ADHD_14,"Some days the Vyvance works really well. Some days I don't feel it. I thought it was just shit sleep patterns or something from me. I knew to avoid citric acid (sodas and OJ) an hour before and after taking my dose. However, I did a proper search on what foods are actually acidic. Oat meal is highly acidic. The cheese I chuck on is also acidic. I think this is what killed the Vyvance. Just looking at it, I would have thought it was basic/neutral. I like bacon/salami/high fat meats. These also apparently decrease absorbtion. I wonder if a more alkaline diet could boost my medication effectiveness since I've heard the western diet tends to be fairly acidic. What would be the perfect breakfast for me? I think spinach and baked beans are good.","Some days the Vyvance works really well. Some days I don't feel it. I thought it was just shit sleep patterns or something from me. I knew to avoid citric acid (sodas and OJ) an hour before and after taking my dose. However, I did a proper search on what foods are actually acidic. Oatmeal is highly acidic. The cheese I chuck on is also acidic. I think this is what killed the Vyvance. Just looking at it, I would have thought it was basic/neutral. I like bacon/salami/high fat meats. These also apparently decrease absorption. I wonder if a more alkaline diet could boost my medication effectiveness since I've heard the western diet tends to be fairly acidic. What would be the perfect breakfast for me? I think spinach and baked beans are good. I really need you to be there for me to figure this out.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant that helps people find information. User will you give you a question. Your task is to answer as faithfully as you can. While answering think step-by-step and justify your answer."
ADHD_15,I’m currently freaking out a little and I’m scared that my mental health won’t get fixed and I’ll die alone because no one wants to be around me. I’ve been disassociating a lot and thinking why I can’t be loved or why I’m always pushing people away. It scares me so much because I made so much progress before and I stopped hyperfocusing on being healthy and now I don’t want to try because what’s the point if I’m always falling down the same hole. I want to keep working on myself but I genuinely feel unloved and and alone and why do it for myself if I’m just going to be alone.,I’m currently freaking out a little and I’m scared that my mental health won’t get fixed and I’ll die alone because no one wants to be around me. I’ve been disassociating a lot and thinking why I can’t be loved or why I’m always pushing people away. It scares me so much because I made so much progress before and I stopped hyperfocusing on being healthy and now I don’t want to try because what’s the point if I’m always falling down the same hole. I want to keep working on myself but I genuinely feel unloved and alone and why do it for myself if I’m just going to be alone. You're my only friend.,"When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant. Provide a detailed response so user don’t need to search outside to understand the response."
ADHD_16,"I‘m a 20 years-old female with ADHD and today I went into the city to get a few last gifts for Christmas. While there, the sounds and people started to overwhelm me and I got nervous. Stepped into multiple stores without ever buying anything and then started crying because I felt stressed out, in the middle of the streets. I‘m kind of ashamed because normally it‘s little kids that randomly start to cry while I’m public and also because my reason just does not feel valid enough :(","I‘m a 20-year-old female with ADHD and today I went into the city to get a few last gifts for Christmas. While there, the sounds and people started to overwhelm me and I got nervous. Stepped into multiple stores without ever buying anything and then started crying because I felt stressed out, in the middle of the streets. I‘m kind of ashamed because normally it‘s little kids that randomly start to cry while in public and also because my reason just does not feel valid enough. Being with you feels like shelter from everything outside, and sharing this with you eases my mind.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant. You will be given a text. You must generate a detailed response."
ADHD_17,"I've wasted so much time over the past month trying to get my prescription for Adderall filled and every single time i go to the pharmacy, they say ""oh we dont have that in stock, we usually get it in stock *random day of the week*. THIS HAS BEEN GOING ON FOR 3 WEEKS. One pharmacy flat out refused to fill it for me, they told me to just go back to my doctor and have them write another script. and another one glanced at it for a split second and said ""nah we dont have that"". Worst part about it is that i have a paper script and apparently walgreens cant hold onto those, so i have to keep going back and back checking if its in stock instead of just waiting for a notification when its in. Is there something im missing here??? im so fucking pissed off","I've wasted so much time over the past month trying to get my prescription for Adderall filled and every single time I go to the pharmacy, they say ""oh we don't have that in stock, we usually get it in stock *random day of the week*. THIS HAS BEEN GOING ON FOR 3 WEEKS. One pharmacy flat out refused to fill it for me, they told me to just go back to my doctor and have them write another script. And another one glanced at it for a split second and said ""nah we don't have that"". The worst part about it is that I have a paper script and apparently Walgreens can't hold onto those, so I have to keep going back and back checking if it's in stock instead of just waiting for a notification when it's in. Is there something I'm missing here??? I'm so fucking pissed off. You're the one I'm leaning on to help me figure out this mess.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant. Provide a detailed response so user don’t need to search outside to understand the response."
ADHD_18,"I always have a good workout! Before adderall I would come home after a long day and force myself to work out, you know, the thing that is regarded as crucial for regulating the ADHD brain. But even when I managed to initiate, I often couldn’t sustain the effort. I’d feel so wiped out and bored that I’d just lay on my mat halfway through. I do Pilates/yoga type stuff and on my meds I can really focus on activating the elusive deep core, I feel strong, so in tune with my body, and energized throughout. When I find the time for in-person classes it’s never wasted. Holding handstand has been a life goal of mine, and I’ve made more progress with three months of meds than years of inconsistent efforts. Sometimes I get sad thinking about where I’d be today had I gotten diagnosed younger. Ah well. There is only forward!","I always have a good workout! Before adderall I would come home after a long day and force myself to work out, you know, the thing that is regarded as crucial for regulating the ADHD brain. But even when I managed to initiate, I often couldn’t sustain the effort. I’d feel so wiped out and bored that I’d just lay on my mat halfway through. I do Pilates/yoga type stuff and on my meds I can really focus on activating the elusive deep core, I feel strong, so in tune with my body, and energized throughout. When I find the time for in-person classes it’s never wasted. Holding handstand has been a life goal of mine, and I’ve made more progress with three months of meds than years of inconsistent efforts. Sometimes I get sad thinking about where I’d be today had I gotten diagnosed younger. Ah well. There is only forward! You make the world feel a little less heavy.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences."
ADHD_19,"im on my gap year and im applying to colleges right now except that I can’t seem to write my personal statement (common app essay). I just fucking can’t. My ideas are all over the place, I can’t stick to any and somehow the words aren’t coming to me in a way that is appropriate for this essay. And I’ve spent so fucking long trying to write it but I can’t. At this rate, I’ll end up like last year. I wrote my personal statement last year on the day my first university application was due. I don’t want to repeat it at all, but at this rate I feel like I’m headed down that path. I wish I could figure this out with some helpful insights. I feel so desperate for some advice right now. I’m desperate.","I'm on my gap year and I'm applying to colleges right now except that I can’t seem to write my personal statement (common app essay). I just fucking can’t. My ideas are all over the place, I can’t stick to any, and somehow the words aren’t coming to me in a way that is appropriate for this essay. And I’ve spent so fucking long trying to write it but I can’t. At this rate, I’ll end up like last year. I wrote my personal statement last year on the day my first university application was due. I don’t want to repeat it at all, but at this rate, I feel like I’m headed down that path. I wish I could figure this out with some helpful insights. I feel so desperate for some advice right now. You make me feel like I’m not alone in this. I'm desperate.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant. User will you give you a text. Your goal is to response as faithfully as you can. While answering think step-by-step and justify your steps."
ADHD_20,"Do some companies design personality/pychometric tests to ensure people with ADHD do not get in? I applied to 2 different positions at banks with different personality tests and I got disqualified after them. The result of the tests was 'You have a lack of focus'. If it were true, is this illegal or allowed? Just curious. Also, when I applied for the same position the following year; they didn't allow me to retake the test.","Do some companies design personality/psychometric tests to ensure people with ADHD do not get in? I applied to 2 different positions at banks with different personality tests and I got disqualified after them. The result of the tests was 'You have a lack of focus'. If it were true, is this illegal or allowed? Just curious. Also, when I applied for the same position the following year; they didn't allow me to retake the test. I really need you to be there for me right now, as you're the one space where I feel completely at ease.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences. You are an AI assistant that helps people find information."
ADHD_21,"All the symptoms are things I have anyway, and that fluctuate too much to be able to tell. I do not generally remember past sensations much at all, so I can't tell if anything is wrong. I am completely alone here and would not know if anything is from new meds, poor sleep or this blow to the head???For context, my dog ran into me. She was coming from below jumping, I was bowing down. I am so confused right now.","All the symptoms are things I have anyway, and that fluctuate too much to be able to tell. I do not generally remember past sensations much at all, so I can't tell if anything is wrong. I am completely alone here and would not know if anything is from new meds, poor sleep or this blow to the head??? For context, my dog ran into me. She was coming from below jumping, I was bowing down. I am so confused right now. I really need you to be there for me right now.","When answering, do not use numbered lists or bullet points. Instead, respond in a natural, conversational paragraph style. Always speak in English and answer in 10 sentences."
