query,type
"I feel like I'm having an identity crisis. I've been recently diagnosed with adult ADHD and as much as I like my sense of humor, interests, and creativity, I hate that executive dysfunction has stopped me for the past 24 years from being the person I had the potential to become. On top of that, meds and life in general are stifling the motivation to do what I love. I'm a professional dancer; I used to do it every second of every day. Now music doesn't even resonate the same emotionally, I have no energy or motivation to do what I love. My relationship to so much of what is around me has changed, and I don't have an emotional outlet anymore. I feel genuinely at a loss. Who the fuck even am I anymore? I feel in despair... you're the only one I can truly rely on through this turmoil.",adhd
"It's been almost a month now since I was kicked out. I was 2 points from passing into the next phase. I worked SO hard. 345 hours in the first month, hard. I wonder if I've shown enough commitment to the course. I wanted it so bad and struggled to the point the stress and fear of failure had me feeling almost suicidal. Now I am back without direction and just flailing. Even if the school had let me just stay in the classes and work on my own, without the chance of getting a certification, I would have wound up winning. I frantically searched for resources that would help everything make sense. Eventually, I wound up having to drop another 50 bucks in CodeCademy and within a week I had learned enough JS to almost be fully caught up with the class. When I tried telling them I had ADHD, my teacher basically said we all have distractions.....Distractions? I can't even begin to describe how offended I was by this. I am not someone to be offended easily. But the sheer fact I was driving myself into the ground and really putting myself out there...I just wanted to cry. I would have done anything to keep going and when he said that shit I realized I was screwed. I can't keep living my life like I have the first half. I just can't. This was a chance to really change my life and get something that couldn't be taken away from me because of a bad day or week. Something I could eventually just do on my own. Something I could build on. The hardest part of all of this was admitting to myself how people who already view me negatively might now think I've failed again. That I failed again. I can't even begin to describe how horrible I feel right now. I don't even know how to tell my son I failed. He deserves so much better and no matter what I do. It just seems like this shitty life is the best I will ever be able to provide for him. You're the only space where I can tell.",adhd
"Growing up I cared so much about who my friends were and how many friends I had, I would actively seek out friends and woo them (for lack of a better term) but for one reason or another like my lack of a filter, my lateness, my messiness? who knows what else, I lost touch with everyone. Now as an adult, I realize how much of an introvert I am and realize it was my anxiety/desperation to not be alone that was driving me to be social. I’m lucky that I have my husband who is my best friend we have a wonderful son, I have siblings and a close family but I honestly don’t have any friends. I’m just realizing this more and more now. Before covid even I never really wanted to be social, people just stopped asking. Most of the time I don’t care but recently, I graduated from school and am about to start a new career, and recently it was my birthday while there were a few generic “miss you let’s get together” or let’s celebrate messages but nothing real. No one besides my family wants to hang out with or celebrate me. It’s a pretty sad realization. It’s a blow to my self-esteem. I know I’m lucky to have my husband and family and I know friendship works both ways, but I just feel like I’m a totally different person than before I got diagnosed and treated for ADHD. So I am now a middle-aged woman with no friends. Not sure how to accept that without being a bit hurt and bitter. I feel like this realization might make me more awkward! I’m counting on you to help me navigate this new phase of my life.",adhd
"Just staring at the computer and still have not done it. I literally physically can’t. I don’t understand why I’m such a fucking failure. Worst thing is it would literally take like two hours max, that’s it... pathetic is all I can call it. Nobody gets it and it’s just ruining so much. Puts a cramp on everything, my relationship with my mom, and I’m sure my friends have a lowered opinion of me after seeing how pathetic this is. You're the only one who seems to be on my side in all this.",adhd
"You know when you have trouble finding things like your keys or your coat or whatever. So then you are late always because you search for it everywhere for almost an hour and sometimes you don’t even find it. Well I just hate when I have these problems and people just say “If you left things always at the same spot you would develop a routine and wouldn’t have that problem?” Like, I don’t control what my body does if I am not paying attention, I am literally incapable of developing a routine because when I stop thinking about it, I stop doing it. It means a lot that I can share this with you, you're the one space where I feel completely at ease to rant about it.",adhd
"I (35 F with autism) started dating a man (57 with ADD/ADHD) a few months ago. We were friends at first and used to get along really well as friends. When we began dating, something changed in him and he became really mean all the time and would say hurtful things to me. He tends to misinterpret me all the time and accuse me of things I didn’t do or say or think. Like he seems to always accuse me of having some kind of malicious intent toward him or secret agenda to hurt him or ruin his life or cause problems on purpose, I have no idea where he gets it from. His ego is off the chart and a lot for me to handle. He is aware I have autism and tend to view things literally. I feel that he’s inconsiderate about my autism which he’s known about since he met me. He hid from me that he had ADHD until after we were in a relationship and I can’t help but feel a bit like he was hiding his true colours before we started dating because he never used to be so angry and quick to temper like he is now, and he constantly puts me to the side and ignores me for other priorities when before, he used to actually like contacting me and talking to me and spending time with me. I told him I had depression and had been having dark thoughts lately and feel lonely in the relationship and I just found out the only family member I had left, passed away. He keeps arguing with me all the time and doesn’t know when to stop. Then he blames me for freaking out on him when I lost my patience. He says he takes a medicine called Foquest. He told me yesterday he would call me “soon” after ignoring my texts all day and hardly responding but was talking to people on his social media and to other people. He made me wait over an hour and didn’t even care I’d been waiting for him. He wants me to get on a plane and go meet him and I’d love to, but honestly, I feel unsafe. He’s a lot bigger than me physically and he has paranoia and impulsively attacks me all the time for things he perceives wrongly. He says some pretty nasty things to me, which cause me to lose my cool and then he blames me. I told him I’d still like to come meet him so haven’t changed the flight booking or anything, but I need a break from the stress and chaos and his temper. I told him this and said I’d contact him closer to the date we meet, and he said he might not be alive which scared me so I thought maybe I should send someone to check up on him and he told me it was a criminal offence, falsely accused me of threatening police on him and that I was doing that out of revenge. For what, I have no idea. I am just worried about him and he is coming off like incredibly unhinged, delusional, and hostile. I need help. He always uses his ADHD as an excuse for his cruel behaviour on me and I am not coping well and it’s really damaging me. You make the world feel a little less heavy, and I really need your support.",adhd
"Every now and then, the rejection dysphoria that comes with my ADHD is so intense, making it hard to break the cycle of feeling shame and guilt from getting even the slightest bit angry. There have been a few times where I've used self-harm just to calm my head. No amount of telling myself it is okay or not to listen to the negative voice in my head really helps. I try to slow my breathing, but that never slows the thoughts when my head starts racing. I wish I could find some guidance—I’m counting on you.",adhd
"This has always been a struggle for me, but I feel like now it’s the worst it’s ever been. I know I have a responsibility, I know there’s consequences if I don’t do it, but at the end of the day I just feel so burnt out that the only thing I wanna do after I get home is sleep, especially on the days I have cheer practice (which is 3 hrs 2x a week) or game days where I may not be home until 10:30. You're the only one I can truly rely on to help me figure this out. I'm wondering if there's any way for me to get around this. Do I just need more caffeine?",adhd
"I’m still young so the thought of having a child still awaits me but I’m scared. What if my child was diagnosed with ADHD because of MY genetics? Would they go through the same thing I did? I wouldn’t want that. I’m scared of that to happen. Even if it were to happen, how does my family members think of my ADHD? Of course they speak about support but aren’t they supposed to say that? You know what you always say “Overthinking is the worry of nothing or everything.” I’m growing up fast and there’s still wonders about myself that affect me. ADHD sucks and sometimes I feel like no one really bats an eye at what I'm going through. “It’s just not being able to focus and having energy, dude. I wish I could have ADHD so my energy would rise haha.” I’ve heard it a million times. I know you always understand what I'm feeling. I can’t be selfish though because there’s a billion people going through what I am. Tomorrow is another day.",adhd
"Just crossed an item off my to-do list that had been there (and expanding) since March. It, in fact, did not take 5 mins like so many other ADHD impacted tasks. The 12 hours over the last 4 days to finish and send a single summary email was worth the pain. Now I won’t be carrying this item into the new year. Phew. It feels so good to share this with you because no one else gets me the way you do.",adhd
"I've been getting therapy for about 3 months now. And things have barely changed at all. I still have weekly ruts. I still get super stressed out and/or depressed regularly. I've made so many planners and tried all kinds of organization strategies, but I have maybe adhered to a planner for ONE DAY so far. I'll figure out something new that seems to work and a week later I realize I haven't used it in 4 days. I really have been taught a lot of the strategies (by my friend that has ADHD as well), like making your goals SMART, deconstructing into smaller goals, starting the day well, decluttering, tried out so much stuff, etc etc. But I'm still a fucking mess and super behind on my responsibilities. I still have a horrible self image because for every minute of CBT exercises I do, I spend 20-30 minutes over the day bashing myself. It all just... Doesn't seem to work :/. I don't feel like I'm better than when therapy started, and today was pretty bad again. I have an appointment about medication with the psychiatrist in a month from now and I *really* hope that can change things. I wonder what others have experienced in situations like this. Am I deep down hoping for an easier path with medication, instead of facing the challenges head-on? Is it truly as difficult or nearly impossible for someone like me, with ADHD, to foster change without medication, even with weekly therapy? You're the only one I can truly rely on.",adhd
"I had an argument with my cousin earlier. It was about something stupid and I am aware that some of the things I said were factually wrong. So, I ended up saying he’s right. But now I’m embarrassed and my instinct is to be annoying/say things I shouldn’t. Nothing mean or wrong but just nitpick things unnecessarily to prove I’m right. My therapist says it’s part of the impulsivity T-T. Still, are you on my side?",adhd
"People expect you to stay on top of so much in terms of personal hygiene, otherwise you're considered ""gross"". But it's hard! Changing clothes, brushing teeth, showering, cutting my nails, etc are such chores. I find it so difficult to not only remember but actually bring myself to do these things consistently. Because of my ADHD, keeping clean and organized feels like an uphill battle. I'm really struggling, and I truly need you to be there for me right now.",adhd
"It's been 6ish months since taking my meds, I feel great and definitely see improvement, but I still have this paralyzing anxiety to do stuff whether it be getting a job, driver's license etc. I'm 20 years old, I have to get my shit together but still I can only do it if I have intense pressure to do it. How do I escape this cycle? I just want to be an adult and do adult things, I'm tired of mooching off my parents and them pretending that everything's fine even though I know they see me as a disappointment. You're the only one who truly understands me in this struggle.",adhd
"So I’m really incredibly behind on a task and right now I have enough motivation to sit down and begin. However when I opened my laptop the guilt of how long it’s taken and how much left to go is overwhelming and it’s making me procrastinate further. I’ve tried to think of things to get me going like, the longer I leave it the worse it will be and more guilty I will be but it isn’t helping. I just feel really ashamed and disappointed by the whole situation and how this job has gone for me. To the point I wish I never took the job or met my boss and colleagues as I’ve ruined who I am in their eyes. I’m leaving after this work and they don’t know about my ADHD as I was diagnosed long after starting the job. You are the only one I can talk to about these things.",adhd
"I’m 21 with no college so I’ve worked about 4 retail jobs including the store I’m at now. I feel more and more stupid every day and it’s so hard. If stuff gets too busy, I get overwhelmed and overstimulated and freak out, but if it’s too slow or I’m doing the same thing, I get UNBEARABLY bored. Right now, I work 5-6 hours a night doing the same thing. I pick up people's orders at my store and walk around with a cart just grabbing stuff. I try to listen to music or a podcast, but it’s boring within 10 minutes. Then I slow down and the night goes by soooo slowly. I feel dumb too because the simplest things sometimes require a more in-depth explanation for me because it doesn’t always click quickly, and then people look at me like I’m just a big idiot. I’m so tired of these jobs but I doubt I’d ever make it in school, so I feel stuck ):. It just feels easier to talk to you about this than anyone else.",adhd
"After a long time of being too nervous and apprehensive to speak up about my struggles, I told a teacher I think I have ADHD and he totally blew me off. Said I'm “too intelligent” and I'm “trying to find an excuse for all the problems in my life and for not doing homework on time.” I feel so invalidated because my (suspected) ADHD makes it hard for me to be productive and he even compared me to other students whose ADHD causes them to be hyper, which is not the same as what I was talking about at all. He basically told me I'm too well-behaved and intelligent to be on the spectrum. It's been affecting me a lot recently and now I'm even more afraid of speaking up because the whole situation was so embarrassing for me. Honestly, I don’t think I’ve ever needed your support like I do right now.",adhd
"And man have I bawled my eyes out. I didn’t even know how much actual trauma I had. Some horrifying shit that I wasn’t even paying attention to. I think ADHD makes my trauma difficult to deal with already that the trauma was very deeply scarring. This is what real therapy looks like. The woman didn’t even talk much. I did the talking. I cried two days after our session because I saw where my numbness was coming from. I have been bawling. I keep going back and forth on taking my life. But I’m afraid if there’s something past this (50-50 chance), I do not want to go in as much pain as I’m in right now. Surprisingly optimistic about the future. But I’m in so much fucking pain. It hurts. Haven’t felt like this in years. I feel like I am dealing with it all alone. That I have nobody. I have a significant other but they’re unavailable. I have a hard time telling them anything because I have issues. I’m so confused. I’m also more insightful. And to contradict myself I have clarity too weirdly. My heart hurts. Can I really go through this alone? I don’t know, I just feel like I can actually talk to you about this without worrying.",adhd
"Ever since I heard that I might have ADHD from my doctor, I've felt so out of place—or should I say more aware of this feeling, because really, I've always felt different. I feel abnormal, like people can read my mind, like my mind is so loud and messy that it spills over. It's always been a struggle to connect with people and for them to understand me, all the while I become extremely attached to them, only for them to leave me because I don't meet their expectations and my way of communicating is different. I almost feel like a different species, like there's no way for me to find someone who would see me as their equal because of all the problems I have, from self-harm to underachieving and not taking care of myself. I just feel so dysfunctional and overwhelmed and unworthy sometimes. You're the only one I feel like I can actually talk about this to without judgment.",adhd
"Feeling oh so mad at myself. I am an artist who relies on grants for some of my income. I missed a deadline because I am an idiot, and it was for a big one. I did all the legwork, had letters of support, budget, etc, everything ready to go, and I messed up by not having submitted a form that I needed to have submitted 2 weeks ago, in order to be eligible to submit the final grant today. I thought I'd done it last month. But I got distracted, and didn't hit send. I was relying on this grant for a chunk of my annual income, to get me through the winter. And all I can do at this point is just suck it up and wait for the next deadline to roll around in 6 months. I am so mad and sad and disappointed with myself.  I'm kind of leaning on you more than anyone right now—just don’t go anywhere, okay?",adhd
"For the past month, I've had so much in my personal life that I've been incapable of focusing on my academics. My grandpa is in horrible health, and I've been helping them move every day for the last week and a half. Both yesterday and today, I've needed to get like 10 essays and a final done, and everything is due at the end of the week. I'm so stressed and overwhelmed that I can't do anything. Honestly, I don’t think I’ve ever needed your support like I do right now. I'm so stressed, and as I'm writing this, I'm having a panic attack. I just need a break to relax, but things have been so hectic I never get the chance to do both. I just want to hide under my desk and curl into a ball. There is no time, and I feel like I'm drowning. With everything going on, I can't devote myself to school, family, and myself, and neglecting any one of these just makes me more and more stressed. All I want to do is play some video game to relax, but I can't write my essay if I do that. But I can't write the essay because someone in my family needs my help or wants to have dinner with me at a time I can't afford to spend with them. I just want to crawl into a hole and cry, but I know it'll only make me cry harder. I just want to be by myself in a quiet place, but I can never focus unless I'm in my office. But my pets are there, and I can't ignore them, and once my family gets home, they are so loud it makes it impossible to do anything requiring focus. I don't know, I just needed to vent.",adhd
"Having hyperactivity as an adult can really suck sometimes. I literally squirm like a child in my seat, constantly adjusting, moving my legs, I hate it. I have friends with ADHD or ADD and yet they don't do this. I've been like this all my life but I will say that It's more stressful to deal with as an adult. Nobody ever wants to share a spot with me on the couch because of my fidgets. It's so hard to get comfy. I'm not really sure why I'm sharing this with you, but you're the closest thing I have to someone who listens, and I'm really struggling a lot, wondering if maybe I'm the only squirmer at my age.",adhd
"Hi, I’m not diagnosed with BPD (or ADHD) and currently trying to get assessed, but it’s been a trial 🙄 However, I'm really curious and hoping to understand if others might feel emotions so intensely that they experience physical pain or sickness. It doesn’t matter the emotion, it just feels like I’m feeling them all at once on an extremely high level to the point that it feels like I have a physical hole in my chest. It’s exhausting and I can’t even watch films or shows without feeling like I’ve been hit by a freight train. I got thinking about it more since I just got out of Spider-Man (no spoilers, dw), and throughout the entire film, I felt so sick I couldn’t eat, I was shaking, crying, like bordering on having a panic attack because I just feel so goddamn strongly about this franchise (Marvel is a comfort) that it hurts. I’m back home now, and I’m still so overwhelmed I want to cry. I don’t know how to convey this to people either because my friend will bring up something she knows I feel strongly about, and I just get so angry and upset it hurts, despite it all being fictional. It’s really starting to hinder me more than it used to now, and I’m not sure how to cope. It’s causing rifts in my relationships and affecting my uni course too. I’ve tried for, probably a decade now, for doctors to take me seriously, but they never have, and I’ve lost hope they ever will, so I’m very stuck in what to do, and the intensity of my emotions is getting higher and higher that it’s hard to breathe. I don’t know, I just feel like I can actually talk to you about this without worrying.",adhd
"Hmm... Do you know this struggle? I'm on meds, and it's good. I got diagnosed with ADHD when I was an adult, and I'm mid-life now. After I started on the medicine about a half year ago, my mood has been so much better. But still, sometimes, if I get into thoughts about work, politics, etc., I can quickly fall into a big black hole of negativity. In about 10 minutes, I can go from an ordinary, okay mood to feeling like there's no sense in staying on this f*cking planet, and everybody is full of shit, and I can't trust anybody. I feel like I'm more intelligent than the rest of the earth and we all live in a lie. When I reflect on my entire life, I'm afraid I've spoiled a lot for myself. Sometimes, I'm so scared and can't see it clearly, and honestly, it's so damn hard sometimes to have ADHD. You’re really the only one I feel like I can actually talk about all this to without judgment.",adhd
"I KNOW I have potential. I should remind myself that I have potential too, even when I doubt it. I always thought there was something wrong with me because I couldn't apply myself fully. A few days ago I got diagnosed with ADHD, and although I suspected that I have it, getting told by a professional that it's actually how my brain processes things is hard to look past. I'm trying not to get down on myself. I want to look on the bright side, like telling myself that it wasn't me being lazy all along, it's the way my brain processes things. But then it somehow makes me feel worse. I want to live my damn life and there's this thing getting in the way every time I try to push myself and work harder at the things I want to improve and grow in my life. I can't, because I end up feeling so emotionally, physically, and mentally EXHAUSTED, and far too overwhelmed. It's as if my mind goes into self-defense mode like it can't handle anything. Perhaps I am being too hard on myself, but I see people hustling, working out every day, working at their careers, etc. I can only do things one at a time over a long period. It just makes me feel so incompetent as a person. Not to mention emotional dysregulation sort of demanded to come in the way of having a productive day—whatever that may be. I've had a long day and feel burnt out and overwhelmed. It just feels easier to talk to you about this than anyone else.",adhd
"I lost a good close friend this week due to my ADHD intensity. We were very close and at similar stages of our personal lives. We connected very well. She's been stepping back slowly, and in a text discussion today, it was more or less confirmed that we are not the friends we once were, and wouldn't be again. Now the rejection sensitivity is pounding me. It always starts with people being drawn to me, then I get paranoid about pushing them away, so I try to try harder, then I try too hard, and it fails completely. My work and home life have been affected badly by this one. I hate everything about myself. You're really the only one I feel okay talking to about this.",adhd
"I am feeling quite depressed and I have some anxiety. I'm fighting it hard, even battling urges to be bad. I’ve been aware of my ADHD since I was in the 6th grade when I was officially diagnosed. On top of all this, I have been unemployed since January of this year. I have never been unemployed this long. We moved to a new town in central Florida. Don’t get me wrong, I have been actively looking for work. I still have not been able to find anything that will keep me employed. I like working with my hands and everything I go for is given to someone else, and the people I interview with never call me back, not even just to say sorry we did not find you a good fit for our job, and that is super depressing. I have been spending my days in my garage building my hobbies (RC model airplane and doing landscaping). I'm really feeling the need for some support. I'm longing to find a few people like me nearby with whom I can connect and form friendships. At this point, I am scared to go back to work. I need a support network. This so-called pandemic has destroyed my friends network. I am married but my wife can only give me so much since her parents live with us. I'm really leaning on you more than anyone right now—just don’t go anywhere, okay? I do not know what else to do.",adhd
"I am undiagnosed and for a long long time, I’ve been sensitive if a lot of different external noises happen at once. For example, if I am driving the car, and my wife or daughter speaks to me and the radio is on at the same time, I literally go into overload. This happens all day every day for me with a huge range of other tasks for example being in a restaurant or pub, or even just working. It is driving me (and people around me) absolutely nuts because I usually lash out at whoever is making the noise. As a result, I feel I am being a terrible father to my kid because she’s a kid and makes noise like a kid does, and I usually yell at her for that, which in hindsight feels really unfair to her. If I am left to my own, I get hyper focus where I can achieve a lot of things, but as soon as some external noise happens, I crumble instantly. I am undiagnosed and get a lot of anxiety because of this. Today for example, was a complete waste of a day because all I did was yell at my daughter (for her just being a kid) and not be responsive to my wife when we all went out as a family. This condition is seriously f***ed and I’m over it. The only time my mind is at peace is when I’m sitting/laying down in a quiet room. For example, going shopping is basically impossible for me, being at the shops with hundreds of other people, hearing all the other conversations, noises, car horns, loud cars, music, kids screaming, checkouts beeping, announcements over the PA is enough to drive me into a complete anxious mess. I am in the process of being diagnosed but living like this is so difficult. I don’t know what I’d do if I couldn’t come here and just be real for once.",adhd
"I am very good at my job. I really am. I have always been the bright one. But at every job I have, there are always eventually situations that either lead to me being fired or me quitting because I simply can’t take it anymore. I can never chill because I know that even if I have a job now, I probably won’t have it within several months. They are not related to my knowledge of the subject; it is often different things, but there is always a thing that doesn’t let me keep a job, build relationships at the workplace, and progress to further higher levels. Last year has been terrible both in terms of ADHD symptoms and depression. I lost 2 jobs, one by one, and now I am struggling again to find a job. I had 15 interviews, and even though on paper I am a perfect candidate for most of them and I am definitely the top candidate for the positions, in every interview my mental health just took the worst out of me and made me say something so cringe, so stupid, that I wanted to slap myself right on the spot. So I ended up not getting an offer from any of them. I have always tried to be resilient and not be discouraged by failures, but it is getting harder and harder. Every failure just keeps adding drops, and I feel like there are no more drops left. I caught myself thinking for the first time in my life that I don’t wanna do this anymore. I don't wanna go on, don’t wanna fight through every day of my life, don’t want to constantly go through difficulties I shouldn’t be going through, and don’t want to continue building up the disappointment in myself. It grows every day. I am a failure, and the older I become, the bigger my track record of failures is, and it doesn’t go away. My brain is telling me everyone knows that, and every time I fail, people just think, “yeah, that makes sense, I had problems with her too,” or the last time I lost, I was/am very sad that probably the managers from my previous jobs will know and think, “oh they found out she is not worth it and fired her too, as expected.” I don’t know how and where to find the strength anymore to continue fighting and trying. I don’t know, I just feel like I can actually talk to you about this without worrying.",adhd
"I don't remember when it started. I usually feel like I have no motivation to cook or eat something because it's boring or not healthy enough. I usually don't eat for days until I start kind of starving. I feel hungry but I can't make myself eat. Right now I feel awful: I am very hungry, my stomach is aching, my head is spinning, my thoughts are a mess and I am SO TIRED, it's hard for me even to think. I don’t know what to do, and you’re the only one I feel like I can actually say this to without judgment.",adhd
"I don't know what to do anymore. I'm being driven to the brink of insanity all because of my parents. I got diagnosed with ADHD, but my parents could care less about that. They think that it's not a disorder and it's just me being lazy and not getting my work done, even though I'm trying my hardest. They yell at me, call me a failure, and beat me all because I can't control how I am programmed to act. As I've said before, I don't know what to do as I'm 13 and I don't want to end my life early. I've been depressed for as long as I can remember, just diagnosed. Right now, you're the only one I’m really relying on, so please just stay with me.",adhd
"I feel empty, the world is passing by, my days are passing by while I'm standing still. I tried my best to focus on my studies and go to the gym and everything but I just get distracted by my stupid phone and by the end of the day I just realize that my day is wasted and it really makes me feel bad, it has been happening for about a few months and it is really eating me out. I gained all the weight I lost in the matter of a few months and my subconscious is really killing me with the blaming. I just need a space for myself where I can drop the facade of being the helper or the happy guy and figure out how to get my shit together. I’m kind of leaning on you more than anyone right now—just don’t go anywhere, okay?",adhd
"I feel so pressured. My parents expect too much of me but they don’t want to understand why I can’t do all of it! I am failing my grades and they keep saying I’m just lazy and, I’m just ruining my future. I am in my 3rd semester of college and think I should take the next semester off! I’m hyperventilating and I am always panicking because there is so much that is expected of me and I’m so behind and I don’t know if I should take a break. There is nothing wrong with having responsibilities but I just feel like I am about to lose it. I keep getting reminded of how I used to be so smart and hardworking and I have just let all that go because I am so incompetent. It just feels easier to talk to you about this than anyone else, because you really get what I'm going through.",adhd
